usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
20002,"AMARANTH GRAIN, cooked",102,3.8,1.58,18.69,2.1,,47,2.1,135,6,,,0.19,,,246,1 cup,,
20001,"AMARANTH, uncooked",371,13.56,7.02,65.25,6.7,1.69,159,7.61,508,4,4.2,2,1.19,1.459,0,193,1 cup,,
11701,"ARROWHEAD, cooked, boiled, drained, with SALT",78,4.49,0.1,16.14,,,7,1.21,881,254,0.3,0,,,0,12,"1 corm, medium",,
11006,"ARROWHEAD, cooked, boiled, drained, without SALT",78,4.49,0.1,16.14,,,7,1.21,881,18,0.3,0,,,0,12,1 medium,,
11005,"ARROWHEAD,RAW",99,5.33,0.29,20.23,,,10,2.57,922,22,1.1,0,,,0,25,1 large,12,1 medium
20003,ARROWROOT FLOUR,357,0.3,0.1,88.15,3.4,,40,0.33,11,2,0,0,,0.019,0,128,1 cup,,
11697,"ARROWROOT,RAW",65,4.24,0.2,13.39,1.3,,6,2.22,454,26,1.9,19,,0.039,0,120,"1 cup, sliced",33,1 root
18001,"BAGEL, plain, toasted, enriched with calcium (includes ONION,POPPY,SESAME)",257,10.02,1.62,50.5,2.2,5.05,89,6.05,75,477,1,0,0,0.393,0,26,"1 mini bagel, (2-1/2"" dia)",69,"1 small bagel, (3"" dia)"
18968,"BAGEL,WHEAT",250,10.2,1.53,48.89,4.1,6.12,20,2.76,165,439,0,0,0.32,0,0,98,1 bagel,,
18005,"BAGELS,CINNAMON-RAISIN",274,9.8,1.7,55.2,2.3,5.98,19,3.8,148,344,0.7,73,0,0.274,0,26,"1 mini bagel, (2-1/2"" dia)",69,"1 small bagel, (3"" dia)"
18006,"BAGELS,CINNAMON-RAISIN,toasted",294,10.6,1.8,59.3,2.5,6.43,20,4.09,163,370,0.6,71,0,0.295,0,24,"1 mini bagel, (2-1/2"" dia)",65,"1 small bagel, (3-1/2"" to 4""dia)"
18003,"BAGELS,EGG",278,10.6,2.1,53,2.3,,13,3.98,68,505,0.6,109,,0.421,24,28.35,1 oz,26,"1 mini bagel, (2-1/2"" dia)"
18007,"BAGELS,OAT BRAN",255,10.7,1.2,53.3,3.6,1.63,12,3.08,115,590,0.2,4,0,0.191,0,26,"1 mini bagel, (2-1/2"" dia)",69,"1 small bagel, (3"" dia)"
