usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
8606,"Cereal,BEAR NAKED BANANA NUT",380,8.8,7.8,78.1,11.4,21.7,34,2.5,349,380,1,17,0,3.4,0,57,".75 cup,  (1 NLEA serving)",,
8607,"Cereal,BEAR NAKED CRANBERRY RAISIN",375,9.1,5.5,78.4,8,26.8,35,2.5,360,375,1,10,0,1,0,56,".67 cup,  (1 NLEA serving)",,
8645,"Cereal,BEAR NAKED NUT CLUSTER CRUNCH,HONEY ALMOND",369,8.9,3.1,82.5,6.2,22.1,27,0.5,225,440,,,0.45,0.2,0,49,".75 cup,  (1 NLEA serving)",,
8646,"Cereal,BEAR NAKED NUT CLUSTER CRUNCH,MAPLE PECAN WALNUT",374,8.5,3.5,83.1,6,22.6,20,0.4,216,442,,,,0.3,0,59,"1 cup,  (1 NLEA serving)",,
8029,"Cereal,BRAN FLAKES,SINGLE BRAND",320,9.4,2.2,80.4,17.6,16.7,56,27,567,600,0,2500,0.85,0.4,0,30,".75 cup,  (1 NLEA serving)",,
8204,"Cereal,CHOCOLATE-FLAVORED Frosted PUFFED CORN",405,3.34,3.5,87.2,3.8,43.7,70,15.87,176,534,52.9,4409,0.11,0.961,0,30,1 cup,,
8022,"Cereal,CORN FLAKES,LO NA",399,7.7,0.3,88.8,1.1,6.11,43,2.22,73,10,0,205,0.14,0.041,0,25,1 cup,28.35,1 oz
8400,"Cereal,CRANBERRY MACADAMIA NUT crunch",408,6.64,9.82,76.98,6,28.73,126,17.15,224,418,17.9,1289,,1.65,,60,1 cup,,
8595,"Cereal,GENERAL MILLS cinnamon CHEX",403,5,6.6,82.4,3.3,26.1,333,27,126,605,20,2500,,0.6,0,30,".75 cup,  (1 NLEA serving)",,
8019,"Cereal,GENERAL MILLS CORN CHEX",370,6.4,2.4,84.9,5.6,11.1,323,29,195,760,29,3226,0.29,0.4,0,31,"1 cup,  (1 NLEA serving)",,
8650,"Cereal,GENERAL MILLS TOTAL PLUS OMEGA3,HONEY ALMOND FLX",373,9.3,6.6,74.4,8.2,24.5,1923,34.6,239,173,115.4,962,,1,0,52,"1 cup,  (1 NLEA serving)",,
8579,"Cereal,GENERAL MILLS,25% LESS SUGAR cinnamon TOAST crunch",384,5,9.6,77.7,11,21.4,714,12.9,162,719,17.1,1429,1.75,1.9,0,28,"1 bowl,  (1 NLEA serving)",,
8586,"Cereal,GENERAL MILLS,25% LESS SUGAR TRIX",376,5.2,5.5,83.9,7.7,23.9,381,17.1,181,512,17.1,1429,1.39,0.7,0,21,.75 cup,,
8263,"Cereal,GENERAL MILLS,APPLE cinnamon CHEERIOS",387,7.6,5.7,81.3,6.5,34.2,333,15,224,391,20,1667,0.62,1,0,30,".75 cup,  (1 NLEA serving)",,
8262,"Cereal,GENERAL MILLS,BASIC 4",358,6.7,3.9,79.2,6.8,22.6,455,8.2,288,519,0,909,1.04,1.3,0,55,"1 cup,  (1 NLEA serving)",,
8274,"Cereal,GENERAL MILLS,BERRY BERRY KIX",376,6.2,4.2,83.8,5.8,20.9,455,28,227,517,18.2,1515,0.54,0.6,0,33,"1.25 cup,  (1 NLEA serving)",,
8239,"Cereal,GENERAL MILLS,BERRY BURST CHEERIOS,TRIPLE BERRY",378,8.8,4.5,80.5,7.6,27,370,16.7,230,639,22.2,1852,0.44,1,0,27,".75 cup,  (1 NLEA serving)",,
8273,"Cereal,GENERAL MILLS,BOO BERRY",388,5.8,4.3,84.7,3.9,30.3,303,13.6,154,577,18.2,1515,0.6,0.7,0,33,"1 cup,  (1 NLEA serving)",,
8013,"Cereal,GENERAL MILLS,CHEERIOS",371,12.09,6.73,73.23,9.4,4.36,401,33.17,641,576,21.6,3299,0.65,1.351,0,28,"1 cup,  (1 NLEA serving)",,
8592,"Cereal,GENERAL MILLS,CHEERIOS,BANANA NUT",374,5.5,4,84.6,6.2,33.1,357,16.1,256,570,53.6,1786,,0.7,0,28,".75 cup,  (1 NLEA serving)",,
8593,"Cereal,GENERAL MILLS,CHEERIOS,CHOCOLATE",379,5.7,5.1,83.4,6.3,34.4,370,16.7,281,637,55.6,1852,,1,0,27,".75 cup,  (1 NLEA serving)",,
8553,"Cereal,GENERAL MILLS,CHEERIOS,YOGURT BURST,STRAWBERRY",400,6.67,5.23,81.75,6.7,30,333,15,200,567,20,2500,0.33,1.667,0,30,".75 cup,  (1 NLEA serving)",,
8594,"Cereal,GENERAL MILLS,CHOCOLATE CHEX",412,4.8,8.4,81.1,2,26.2,333,27,185,642,20,1667,,1.6,0,32,".75 cup,  (1 NLEA serving)",,
8513,"Cereal,GENERAL MILLS,CHOCOLATE LUCKY CHARMS",378,5.8,4.5,83.7,5.8,36.5,357,16.1,249,560,21.4,1786,0.58,0.8,0,28,".75 cup,  (1 NLEA serving)",,
8272,"Cereal,GENERAL MILLS,cinnamon TOAST CRUNCH",410,5.27,9.38,79.73,3.8,33.15,451,18.27,152,701,23.5,3299,2.01,1.422,0,31,".75 cup,  (1 NLEA serving)",,
8271,"Cereal,GENERAL MILLS,COCOA PUFFS",383,5.6,5.2,83.7,5.7,37.2,370,16.7,272,564,22.2,1852,0.7,1,0,27,".75 cup,  (1 NLEA serving)",,
8644,"Cereal,GENERAL MILLS,COCOA PUFFS COMBOS,CHOCOLATE & VANILLA",390,4.2,5.6,84.6,4.1,37.9,370,16.7,163,597,22.2,1852,,0.6,0,27,".75 cup,  (1 NLEA serving)",,
8635,"Cereal,GENERAL MILLS,COCOA PUFFS,25% reduced sugar",382,6.2,5,83.3,5.8,26.1,333,15,287,521,20,1667,,0.7,0,24,".75 cup,  (1 NLEA serving)",,
8017,"Cereal,GENERAL MILLS,COOKIE CRISP",380,5.2,4.4,84.5,5.1,34.8,385,17.3,231,457,23.1,1923,0.57,0.8,0,26,".75 cup,  (1 NLEA serving)",,
8270,"Cereal,GENERAL MILLS,COUNT CHOCOLATEULA",381,5.2,4.5,84.6,5.1,37.3,370,16.7,229,595,22.2,1852,0.59,0.8,0,27,".75 cup,  (1 NLEA serving)",,
8582,"Cereal,GENERAL MILLS,DORA THE EXPLORER",366,5.6,5.7,82.8,10.2,21.2,370,30,198,564,22.2,1852,0.93,1,0,27,".75 cup,  (1 NLEA serving)",,
8651,"Cereal,GENERAL MILLS,FIBER ONE 80 CAL,HONEY SQUARES",223,4.6,2.5,83.7,42.1,9.5,1333,15,227,465,20,1667,,0.4,0,30,".75 cup,  (1 NLEA serving)",,
8244,"Cereal,GENERAL MILLS,FIBER ONE BRAN crunch",200,6.5,2.2,84.6,47.9,1,333,15,329,349,20,33,0.6,0.4,0,30,".5 cup,  (1 NLEA serving)",,
8596,"Cereal,GENERAL MILLS,FIBER ONE,CARAMEL DELIGHT",344,5.8,5.8,82.7,19.1,20.8,200,28.8,259,470,12,1000,,1.2,0,50,"1 cup,  (1 NLEA serving)",,
8597,"Cereal,GENERAL MILLS,FIBER ONE,Frosted SHREDDED WHEAT",321,8.4,1.7,81.7,15,20.3,0,29.8,305,2,0,0,,0.3,0,60,"1 cup,  (1 NLEA serving)",,
8598,"Cereal,GENERAL MILLS,FIBER ONE,HONEY CLUSTERS",302,6.5,2.5,85.2,26.7,11.7,200,30,322,437,12,0,,0.4,0,52,"1 cup,  (1 NLEA serving)",,
8599,"Cereal,GENERAL MILLS,FIBER ONE,RAISIN BRAN CLUSTERS",312,5.2,2,85.4,21.3,24.8,133,9,378,382,0,0,,0.3,0,55,"1 cup,  (1 NLEA serving)",,
8268,"Cereal,GENERAL MILLS,FRANKENBERRY",385,5.3,4.3,85.2,4.2,30.4,333,15,162,578,20,1667,0.77,0.7,0,33,"1 cup,  (1 NLEA serving)",,
8267,"Cereal,GENERAL MILLS,Frosted CHEERIOS",378,8.1,4.2,81.7,6.4,32.1,370,16.7,219,610,22.2,1852,0.27,1,0,28,".75 cup,  (1 NLEA serving)",,
8583,"Cereal,GENERAL MILLS,FRUITY CHEERIOS",383,5.2,5.2,84.2,6,33.8,370,16.7,216,493,55.6,1852,1.07,0.8,0,27,".75 cup,  (1 NLEA serving)",,
8035,"Cereal,GENERAL MILLS,GOLDEN GRAHAMS",374,5.3,3.2,85.1,5.6,35,323,14.5,206,772,19.4,1613,0.64,0.4,0,31,".75 cup,  (1 NLEA serving)",,
8643,"Cereal,GENERAL MILLS,HONEY KIX",359,6.4,2.9,85.2,8.7,18.9,455,28,239,580,18.2,1515,,0.5,0,33,"1.25 cup,  (1 NLEA serving)",,
