usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
1004,"CHEESE,BLUE",353,21.4,28.74,2.34,0,0.5,528,0.31,256,1395,0,763,0.25,18.669,75,28.35,1 oz,17,1 cubic inch
1005,"CHEESE,BRICK",371,23.24,29.68,2.79,0,0.51,674,0.43,136,560,0,1080,0.26,18.764,94,132,"1 cup, diced",113,"1 cup, shredded"
1006,"CHEESE,BRIE",334,20.75,27.68,0.45,0,0.45,184,0.5,152,629,0,592,0.24,17.41,100,240,"1 cup, melted",144,"1 cup, sliced"
1007,"CHEESE,CAMEMBERT",300,19.8,24.26,0.46,0,0.46,388,0.33,187,842,0,820,0.21,15.259,72,246,1 cup,28.35,1 oz
1008,"CHEESE,CARAWAY",376,25.18,29.2,3.06,0,,673,0.64,93,690,0,1054,,18.584,93,28.35,1 oz,,
1009,"CHEESE,CHEDDAR",403,24.9,33.14,1.28,0,0.52,721,0.68,98,621,0,1002,0.29,21.092,105,132,"1 cup, diced",244,"1 cup, melted"
1010,"CHEESE,CHESHIRE",387,23.37,30.6,4.78,0,,643,0.21,95,700,0,985,,19.475,103,28.35,1 oz,,
1011,"CHEESE,COLBY",394,23.76,32.11,2.57,0,0.52,685,0.76,127,604,0,994,0.28,20.218,95,132,"1 cup, diced",113,"1 cup, shredded"
1012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98,11.12,4.3,3.38,0,2.67,83,0.07,104,364,0,140,0.08,1.718,17,113,4 oz,210,"1 cup, large curd (not packed)"
1013,"CHEESE,COTTAGE,CRMD,W/FRUIT",97,10.69,3.85,4.61,0.2,2.38,53,0.16,90,344,1.4,146,0.04,2.311,13,226,"1 cup,  (not packed)",113,4 oz
1016,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72,12.39,1.02,2.72,0,2.72,61,0.14,86,406,0,41,0.01,0.645,4,226,"1 cup,  (not packed)",113,4 oz
1015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",86,11.83,2.45,3.66,0,3.67,91,0.15,84,330,0,74,0.04,0.979,10,226,"1 cup,  (not packed)",113,4 oz
1014,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72,10.34,0.29,6.66,0,1.85,86,0.15,137,330,0,8,0.01,0.169,7,145,"1 cup,  (not packed)",113,4 oz
1017,"CHEESE,CREAM",342,5.93,34.24,4.07,0,3.21,98,0.38,138,321,0,1343,0.29,19.292,110,232,1 cup,14.5,1 tbsp
1186,"CHEESE,CREAM,FAT FREE",105,15.69,1,7.66,0,5.48,351,0.19,278,702,0,53,0.02,0.644,12,18,1 tbsp,,
1227,"CHEESE,DRY WHITE,QUESO SECO",325,24.51,24.35,2.04,,0.55,661,0.18,116,1808,,800,0.49,13.718,78,97,"1 cup, grated",,
1018,"CHEESE,EDAM",357,24.99,27.8,1.43,0,1.43,731,0.44,188,965,0,825,0.24,17.572,89,28.35,1 oz,198,"1 package,  (7 oz)"
1019,"CHEESE,FETA",264,14.21,21.28,4.09,0,4.09,493,0.65,62,1116,0,422,0.18,14.946,89,150,"1 cup, crumbled",28.35,1 oz
1020,"CHEESE,FONTINA",389,25.6,31.14,1.55,0,1.55,550,0.23,64,800,0,913,0.27,19.196,116,132,"1 cup, diced",108,"1 cup, shredded"
1228,"CHEESE,FRSH,QUESO FRESCO",299,18.09,23.82,2.98,0,2.32,566,0.2,129,751,0,806,0.37,12.94,69,122,"1 cup, crumbled",,
1021,"CHEESE,GJETOST",466,9.65,29.51,42.65,0,,400,0.52,1409,600,0,1113,,19.16,94,28.35,1 oz,227,"1 package,  (8 oz)"
1156,"CHEESE,GOAT,HARD TYPE",452,30.52,35.59,2.17,0,2.17,895,1.88,48,346,0,1745,0.31,24.609,105,28.35,1 oz,,
1157,"CHEESE,GOAT,SEMISOFT TYPE",364,21.58,29.84,0.12,0,0.12,298,1.62,158,515,0,1464,0.26,20.639,79,28.35,1 oz,,
1159,"CHEESE,GOAT,SOFT TYPE",264,18.52,21.08,0,0,0.89,140,1.9,26,368,0,1033,0.18,14.575,46,28.35,1 oz,,
1022,"CHEESE,GOUDA",356,24.94,27.44,2.22,0,2.22,700,0.24,121,819,0,563,0.24,17.614,114,28.35,1 oz,198,"1 package,  (7 oz)"
1023,"CHEESE,GRUYERE",413,29.81,32.34,0.36,0,0.36,1011,0.17,81,336,0,948,0.28,18.913,110,132,"1 cup, diced",108,"1 cup, shredded"
1024,"CHEESE,LIMBURGER",327,20.05,27.25,0.49,0,0.49,497,0.13,128,800,0,1155,0.23,16.746,90,134,1 cup,28.35,1 oz
1168,"CHEESE,LOFAT,CHEDDAR OR COLBY",173,24.35,7,1.91,0,0.52,415,0.42,66,612,0,207,0.06,4.342,21,132,"1 cup, diced",113,"1 cup, shredded"
1169,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",398,24.35,32.62,1.91,0,0.49,703,0.72,112,21,0,996,0.28,20.768,100,132,"1 cup, diced",113,"1 cup, shredded"
1251,"CHEESE,MEXICAN BLEND",358,23.54,28.51,1.75,0,1.23,659,0.59,85,696,0,659,0.25,17.027,95,28,".25 cup, shredded",,
1209,"CHEESE,MEXICAN,BLEND,RED FAT",282,24.69,19.4,3.41,0,0.56,1146,0.13,93,776,0,586,0.17,11.58,62,28.35,1 oz,28,.25 cup
1165,"CHEESE,MEXICAN,QUESO ANEJO",373,21.44,29.98,4.63,0,4.63,680,0.47,87,1131,0,220,0.26,19.033,105,132,"1 cup, crumbled",28.35,1 oz
1166,"CHEESE,MEXICAN,QUESO ASADERO",356,22.6,28.26,2.87,0,2.87,661,0.51,86,655,0,190,0.24,17.939,105,132,"1 cup, diced",113,"1 cup, shredded"
1167,"CHEESE,MEXICAN,QUESO CHIHUAHUA",374,21.56,29.68,5.56,0,5.56,651,0.47,52,617,0,193,0.26,18.843,105,132,"1 cup, diced",113,"1 cup, shredded"
1025,"CHEESE,MONTEREY",373,24.48,30.28,0.68,0,0.5,746,0.72,81,536,0,769,0.26,19.066,89,132,"1 cup, diced",113,"1 cup, shredded"
1028,"CHEESE,MOZZARELLA,PART SKIM MILK",254,24.26,15.92,2.77,0,1.13,782,0.22,84,619,0,481,0.14,10.114,64,28.35,1 oz,,
1029,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",302,25.96,20.03,3.83,0,0.6,731,0.25,95,652,0,605,0.37,10.877,54,132,"1 cup, diced",113,"1 cup, shredded"
