usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
9400,"APPLE juice,canned OR bottled,unsweetened,with ADDED VIT C",46,0.1,0.13,11.3,0.2,9.62,8,0.12,101,4,38.5,1,0.01,0.022,0,248,1 cup,31,1 fl oz
9016,"APPLE juice,canned OR bottled,unsweetened,without ADDED VIT C",46,0.1,0.13,11.3,0.2,9.62,8,0.12,101,4,0.9,1,0.01,0.022,0,248,1 cup,31,1 fl oz
9018,"APPLE juice,frozen concentrate,unsweetened,DIL with VOLUME H2O without VIT C",47,0.14,0.1,11.54,0.1,10.93,6,0.26,126,7,0.6,0,0.01,0.018,0,239,1 cup,29.9,1 fl oz
9411,"APPLE juice,frozen concentrate,unsweetened,DIL with VOLUME H2O,with VIT C",47,0.14,0.1,11.54,0.1,,6,0.26,126,7,25,0,,0.018,0,239,1 cup,29.9,1 fl oz
9410,"APPLE juice,frozen concentrate,unsweetened,undiluted,with VIT C",166,0.51,0.37,41,,38.83,20,0.91,448,25,88.9,0,,0.06,0,211,"1 can,  (6 fl oz)",,
9017,"APPLE juice,frozen concentrate,unsweetened,undiluted,without VIT C",166,0.51,0.37,41,0.4,38.83,20,0.91,448,25,2.1,0,0.04,0.06,0,211,"1 can,  (6 fl oz)",,
9008,"APPLES,canned,sweetened,SLICED,drained,heated",67,0.18,0.43,16.84,2,14.84,4,0.24,70,3,0.2,56,0.21,0.07,0,204,"1 cup, slices",,
9007,"APPLES,canned,sweetened,SLICED,drained,UNheated",67,0.18,0.49,16.7,1.7,15,4,0.23,68,3,0.4,51,0.21,0.08,0,204,"1 cup, slices",,
9010,"APPLES,dehydratedrated,SULFURED,stewed",74,0.28,0.12,19.91,2.6,,4,0.43,136,26,0.6,19,,0.02,0,193,1 cup,,
9009,"APPLES,dehydratedrated,SULFURED,uncooked",346,1.32,0.58,93.53,12.4,81.13,19,2,640,124,2.2,81,0.75,0.095,0,60,1 cup,,
9013,"APPLES,DRIED,SULFURED,stewed,with SUGAR",83,0.2,0.07,20.73,1.9,,3,0.31,98,19,0.9,16,,0.011,0,280,1 cup,,
9012,"APPLES,DRIED,SULFURED,stewed,without SUGAR",57,0.22,0.07,15.32,2,13.32,3,0.33,105,20,1,17,0.12,0.012,0,255,1 cup,,
9011,"APPLES,DRIED,SULFURED,uncooked",243,0.93,0.32,65.89,8.7,57.19,14,1.4,450,87,3.9,0,0.53,0.052,0,86,1 cup,6.4,1 ring
9015,"APPLES,frozen,unsweetened,heated",47,0.29,0.33,12,1.3,,5,0.19,76,3,0.4,20,,0.053,0,206,"1 cup, slices",,
9014,"APPLES,frozen,unsweetened,UNheated",48,0.28,0.32,12.31,1.3,,4,0.18,77,3,0.1,34,,0.053,0,173,"1 cup, slices",,
9501,"APPLES,RAW,GOLDEN DELICIOUS,with skin",57,0.28,0.15,13.6,2.4,10.04,6,0.13,100,2,,51,0.18,,,109,"1 cup, sliced",215,1 large
9003,"APPLES,RAW,WITH SKIN",52,0.26,0.17,13.81,2.4,10.39,6,0.12,107,1,4.6,54,0.18,0.028,0,125,"1 cup, quartered or chopped",109,"1 cup, slices"
9004,"APPLES,RAW,WITHOUT SKIN",48,0.27,0.13,12.76,1.3,10.1,5,0.07,90,0,4,38,0.05,0.021,0,110,"1 cup, slices",216,"1 large,  (3-1/4"" dia)"
9006,"APPLES,RAW,without skin,cooked,MICROWAVE",56,0.28,0.42,14.41,2.8,11.61,5,0.17,93,1,0.3,40,0.05,0.068,0,170,"1 cup, slices",,
9005,"APPLES,RAW,withoutskin,cooked,boiled",53,0.26,0.36,13.64,2.4,11.01,5,0.19,88,1,0.2,44,0.05,0.058,0,171,"1 cup, slices",,
9402,"APPLESAUCE,canned,sweetened,withSALT",76,0.18,0.18,19.91,1.2,,4,0.35,61,28,1.7,11,,0.03,0,255,1 cup,,
9020,"APPLESAUCE,canned,sweetened,without SALT (INCLUDES USDA COMMODITY)",68,0.16,0.17,17.49,1.2,14.67,3,0.12,75,2,1.7,6,0.18,0.03,0,246,1 cup,,
9401,"APPLESAUCE,canned,unsweetened,with VIT C",42,0.17,0.1,11.27,1.1,9.39,4,0.23,74,2,21.2,29,0.16,0.008,0,244,1 cup,,
9019,"APPLESAUCE,canned,unsweetened,withoutADDED VIT C (INCLUDES USDA COMMOD)",42,0.17,0.1,11.27,1.1,9.39,4,0.23,74,2,1,29,0.16,0.008,0,244,1 cup,,
9403,"APRICOT NECTAR,canned,with VIT C",56,0.37,0.09,14.39,0.6,,7,0.38,114,3,54.4,1316,,0.006,0,251,1 cup,31.4,1 fl oz
9036,"APRICOT NECTAR,canned,without VIT C",56,0.37,0.09,14.39,0.6,13.79,7,0.38,114,3,0.6,1316,0.31,0.006,0,251,1 cup,31.4,1 fl oz
9029,"APRICOTS,canned,packed in extra heavy syrup,withoutskin,solids and liquids",96,0.55,0.04,24.85,1.6,,8,0.62,126,13,2.4,1471,,0.003,0,246,"1 cup, whole, without pits",,
9025,"APRICOTS,canned,packed in extra light syrup,withskin,solids and liquids",49,0.6,0.1,12.5,1.6,,10,0.3,140,2,4,1271,,0.007,0,247,"1 cup,  halves",,
9022,"APRICOTS,canned,packed in water,withskin,solids and liquids",27,0.71,0.16,6.39,1.6,4.79,8,0.32,192,3,3.4,1959,0.6,0.011,0,243,"1 cup,  halves",36,"1 apricot, half with liquid"
9023,"APRICOTS,canned,packed in water,withoutskin,solids and liquids",22,0.69,0.03,5.48,1.1,,8,0.54,154,11,1.8,1810,,0.002,0,227,"1 cup, whole, without pits",,
9027,"APRICOTS,canned,packed in heavy syrup,withskin,solids and liquids",83,0.53,0.08,21.47,1.6,19.87,9,0.3,140,4,3.1,1230,0.6,0.005,0,258,"1 cup,  halves",240,"1 cup, whole"
9028,"APRICOTS,canned,packed in heavy syrup,withoutskin,solids and liquids",83,0.51,0.09,21.45,1.6,,9,0.43,134,11,2.8,1240,,0.006,0,258,"1 cup, whole, without pits",,
9357,"APRICOTS,canned,heavy syrup,drained",83,0.64,0.11,21.31,2.7,18.65,10,0.3,143,4,3.1,2924,0.89,0.007,0,219,"1 cup,  halves",182,"1 cup, whole"
9024,"APRICOTS,canned,packed in juice,withskin,solids and liquids",48,0.63,0.04,12.34,1.6,10.74,12,0.3,165,4,4.9,1691,0.6,0.003,0,244,"1 cup,  halves",36,"1 apricot, half with liquid"
9026,"APRICOTS,canned,packed in light syrup,withskin,solids and liquids",63,0.53,0.05,16.49,1.6,14.89,11,0.39,138,4,2.7,1322,0.6,0.003,0,253,"1 cup,  halves",40,"1 apricot, half with liquid"
