usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
17330,"GAME MEAT BISON,GROUND,RAW",223,18.67,15.93,0,0,0,11,2.6,307,66,0,0,,6.802,70,85,"1 serving,  ( 3 oz )",113,1 patty
17332,"GAME MEAT BISON,TOP SIRLOIN, lean, 1"" steak,cooked, broiled",171,28.05,5.65,0,0,0,5,3.47,387,53,0,0,,2.412,86,194,"1 steak,  ( yield from 309.7 g raw meat )",85,"1 serving,  ( 3 oz )"
17145,"GAME MEAT,ANTELOPE,cooked, roasted",150,29.45,2.67,0,0,,4,4.2,372,54,0,0,,0.97,126,340,"1 piece, cooked (yield from 1 lb raw meat, boneless)",85,3 oz
17144,"GAME MEAT,ANTELOPE,RAW",114,22.38,2.03,0,0,,3,3.19,353,51,0,0,,0.74,95,28.35,1 oz,453.6,1 lb
17147,"GAME MEAT,BEAR,cooked,SIMMRED",259,32.42,13.39,0,0,0,5,10.73,263,71,0,0,0,3.54,98,277,"1 piece, cooked (yield from 1 lb raw meat, boneless)",85,3 oz
17146,"GAME MEAT,BEAR,RAW",161,20.1,8.3,0,0,,3,6.65,,,0,0,,,,28.35,1 oz,453.6,1 lb
17151,"GAME MEAT,BEAVER,cooked, roasted",212,34.85,6.96,0,0,0,22,10,403,59,3,0,0,2.07,117,313,"1 piece, cooked (yield from 1 lb raw meat, boneless)",85,3 oz
17150,"GAME MEAT,BEAVER,RAW",146,24.05,4.8,0,0,,15,6.9,348,51,2,0,,,,28.35,1 oz,453.6,1 lb
17331,"GAME MEAT,BISON,GROUND,cooked, pan-broiled",238,23.77,15.13,0,0,0,13,3.08,341,73,0,0,,6.461,83,87,"1 patty,  ( yield from 112.7 g raw meat )",85,"1 serving,  ( 3 oz )"
17157,"GAME MEAT,BISON, lean, cooked, roasted",143,28.44,2.42,0,0,0,8,3.42,361,57,0,0,0,0.91,82,340,"1 piece, cooked (yield from 1 lb raw meat, boneless)",85,3 oz
17156,"GAME MEAT,BISON, lean, RAW",109,21.62,1.84,0,0,,6,2.6,343,54,0,0,,0.69,62,28.35,1 oz,453.6,1 lb
17268,"GAME MEAT,BISON,RIBEYE, lean, 0""FAT,RAW",116,22.1,2.4,0,,,6,2.8,344,48,0,3,,0.898,62,28.35,1 oz,453.6,1 lb
17335,"GAME MEAT,BISON,RIBEYE, lean, 1"" steak,cooked, broiled",177,29.45,5.67,0,0,0,7,2.88,371,52,0,0,,2.419,79,179,"1 steak,  ( yield from 232.8 g raw meat )",85,"1 serving,  ( 3 oz )"
17269,"GAME MEAT,BISON,shoulder, lean, 0""FAT,RAW",109,21.1,2.1,0,,,4,3,322,59,0,2,,0.749,66,28.35,1 oz,453.6,1 lb
17336,"GAME MEAT,BISON,top round, lean, 1"" steak,cooked, broiled",174,30.18,4.96,0,0,0,5,3.52,382,41,0,0,,1.957,85,180,1 steak,85,"1 serving,  ( 3 oz )"
17337,"GAME MEAT,BISON,top round, lean, 1"" steak,RAW",122,23.32,2.43,0,0,0,5,2.66,390,47,0,0,,1.039,65,489,1 steak,,
17267,"GAME MEAT,BISON,TOP SIRLOIN, lean, 0""FAT,RAW",113,21.4,2.4,0,,,5,3,335,51,0,3,,0.885,71,28.35,1 oz,453.6,1 lb
17159,"GAME MEAT,BOAR,WILD,cooked, roasted",160,28.3,4.38,0,0,0,16,1.12,396,60,0,0,0,1.3,77,340,"1 piece, cooked (yield from 1 lb raw meat, boneless)",85,3 oz
17158,"GAME MEAT,BOAR,WILD,RAW",122,21.51,3.33,0,0,,12,,,,0,0,,0.99,,28.35,1 oz,453.6,1 lb
17161,"GAME MEAT,BUFFALO,water,cooked, roasted",131,26.83,1.8,0,0,,15,2.12,313,56,0,0,,0.6,61,340,"1 piece, cooked (yield from 1 lb raw meat, boneless)",85,3 oz
17160,"GAME MEAT,BUFFALO,water,RAW",99,20.39,1.37,0,0,,12,1.61,297,53,0,0,,0.46,46,28.35,1 oz,453.6,1 lb
17163,"GAME MEAT,CARIBOU,cooked, roasted",167,29.77,4.42,0,0,0,22,6.17,310,60,3,0,0,1.7,109,340,"1 piece, cooked (yield from 1 lb raw meat, boneless)",85,3 oz
17162,"GAME MEAT,CARIBOU,RAW",127,22.63,3.36,0,0,,17,4.69,295,57,0,0,,1.29,83,28.35,1 oz,453.6,1 lb
17165,"GAME MEAT,DEER,cooked, roasted",158,30.21,3.19,0,0,,7,4.47,335,54,0,0,,1.25,112,340,"1 piece, cooked (yield from 1 lb raw meat, boneless)",85,3 oz
17344,"GAME MEAT,DEER,GROUND,cooked, pan-broiled",187,26.45,8.22,0,0,0,14,3.35,364,78,0,0,0,3.993,98,93,1 patty,85,"1 serving,  ( 3 oz )"
17343,"GAME MEAT,DEER,GROUND,RAW",157,21.78,7.13,0,0,0,11,2.92,330,75,0,0,0,3.361,80,85,"1 patty,  (cooked from 4 oz raw)",28.35,1 oz
17345,"GAME MEAT,DEER,LOIN, lean, 1"" steak,cooked, broiled",150,30.2,2.38,0,0,0,6,4.09,398,57,0,0,0,0.878,79,54,1 steak,85,"1 serving,  ( 3 oz )"
17164,"GAME MEAT,DEER,RAW",120,22.96,2.42,0,0,0,5,3.4,318,51,0,0,,0.95,85,28.35,1 oz,453.6,1 lb
17346,"GAME MEAT,DEER,shoulder, lean, roast,cooked, braised",191,36.28,3.95,0,0,0,6,5.01,313,52,0,0,0,1.959,113,293,1 roast,85,"1 serving,  ( 3 oz )"
17347,"GAME MEAT,DEER,TENDERLOIN, lean, 0.5-1 LB RST,cooked, broiled",149,29.9,2.35,0,0,0,5,4.25,434,57,0,0,,1.142,88,202,"1 roast,  ( yield from 271.8 g raw meat )",85,"1 serving,  ( 3 oz )"
17348,"GAME MEAT,DEER,top round, lean, 1"" steak,cooked, broiled",152,31.47,1.92,0,0,0,4,4.23,377,45,0,0,,1.03,85,102,"1 steak,  ( yield from 134.9 g raw meat )",85,"1 serving,  ( 3 oz )"
