usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
11702,"ARTICHOKES, cooked, boiled, drained, with salt",51,2.89,0.34,11.39,8.6,0.99,21,0.61,286,296,7.4,13,0.19,0.037,0,120,"1 artichoke,  medium",84,".5 cup, hearts"
11008,"ARTICHOKES, cooked, boiled, drained, without salt",53,2.89,0.34,11.95,8.6,0.99,21,0.61,286,60,7.4,13,0.19,0.081,0,120,"1 artichoke,  medium",84,".5 cup, hearts"
11703,"ARTICHOKES, frozen,cooked, boiled, drained, with salt",45,3.11,0.5,9.18,4.6,0.84,21,0.56,264,289,5,11,0.16,0.119,0,168,1 cup,240,"1 package,  (9 oz), yields"
11010,"ARTICHOKES, frozen,cooked, boiled, drained, without salt",45,3.11,0.5,9.18,4.6,0.84,21,0.56,264,53,5,11,0.16,0.119,0,168,1 cup,240,"1 package,  (9 oz), yields"
11009,"ARTICHOKES, frozen,unprepared",38,2.63,0.43,7.76,3.9,,19,0.5,248,47,5.3,154,,0.099,0,255,"1 package,  (9 oz)",,
11007,"ARTICHOKES, RAW",47,3.27,0.15,10.51,5.4,0.99,44,1.28,370,94,11.7,13,0.19,0.036,0,128,"1 artichoke,  medium",162,"1 artichoke,  large"
11012,"ASPARAGUS,cooked, boiled, drained",22,2.4,0.22,4.11,2,1.3,23,0.91,224,14,7.7,1006,1.5,0.048,0,90,.5 cup,60,"4 spears,  (1/2"" base)"
11705,"ASPARAGUS,cooked, boiled, drained, with salt",22,2.4,0.22,4.11,2,1.3,23,0.91,224,240,7.7,1006,1.5,0.048,0,90,.5 cup,60,"4 spears,  (1/2"" base)"
11015,"ASPARAGUS, canned, drained solid",19,2.14,0.65,2.46,1.6,1.06,16,1.83,172,287,18.4,822,1.22,0.147,0,242,1 cup,18,"1 spear,  (about 5"" long)"
11707,"ASPARAGUS, canned,NO SALT, solids and liquids",15,1.8,0.18,2.48,1,1,15,0.6,172,26,16.5,776,0.29,0.041,0,122,.5 cup,411,"1 can,  (300 x 407)"
11013,"ASPARAGUS, canned, solids and liquids",15,1.8,0.18,2.47,1,,15,0.6,172,284,16.5,526,,0.044,0,122,.5 cup,411,"1 can,  (300 x 407)"
11709,"ASPARAGUS,frozen,cooked, boiled, drained, with salt",18,2.95,0.42,1.92,1.6,0.32,18,0.56,172,240,24.4,806,1.2,0.096,0,180,1 cup,293,"1 package,  (10 oz) yields"
11019,"ASPARAGUS,frozen,cooked, boiled, drained, without salt",18,2.95,0.42,1.92,1.6,0.32,18,0.56,172,3,24.4,806,1.2,0.096,0,180,1 cup,293,"1 package,  (10 oz) yields"
11018,"ASPARAGUS,frozen,unprepared",24,3.23,0.23,4.1,1.9,,25,0.73,253,8,31.8,948,,0.052,0,284,"1 package,  (10 oz)",58,4 spears
11011,"ASPARAGUS,RAW",20,2.2,0.12,3.88,2.1,1.88,24,2.14,202,2,5.6,756,1.13,0.04,0,134,1 cup,12,"1 spear,  small (5"" long or less)"
11712,"BAMBOO SHOOTS,cooked, boiled, drained, with salt",11,1.53,0.22,1.52,1,,12,0.24,533,240,0,0,,0.051,0,120,"1 cup,  (1/2"" slices)",144,1 shoot
11027,"BAMBOO SHOOTS,cooked, boiled, drained, without salt",12,1.53,0.22,1.92,1,,12,0.24,533,4,0,0,,0.051,0,120,"1 cup,  (1/2"" slices)",144,1 shoot
11028,"BAMBOO SHOOTS, canned, drained solid",19,1.72,0.4,3.22,1.4,1.89,8,0.32,80,7,1.1,13,0.63,0.092,0,131,"1 cup,  (1/8"" slices)",262,"1 can,  (303 x 406)"
11026,"BAMBOO SHOOTS,RAW",27,2.6,0.3,5.2,2.2,3,13,0.5,533,4,4,20,1,0.069,0,151,"1 cup,  (1/2"" slices)",76,".5 cup,  (1/2"" pieces)"
11086,"BEET GREENS,RAW",22,2.2,0.13,4.33,3.7,0.5,117,2.57,762,226,30,6326,1.5,0.02,0,38,1 cup,32,1 leaf
11736,"BEET greens,cooked, boiled, drained, with salt",27,2.57,0.2,5.46,2.9,0.6,114,1.9,909,477,24.9,7654,1.81,0.031,0,144,"1 cup,  (1"" pieces)",,
11087,"BEET greens,cooked, boiled, drained, without salt",27,2.57,0.2,5.46,2.9,0.6,114,1.9,909,241,24.9,7654,1.81,0.031,0,144,"1 cup,  (1"" pieces)",72,".5 cup,  (1"" pieces)"
11081,"BEETS,cooked, boiled, drained",44,1.68,0.18,9.96,2,7.96,16,0.79,305,77,3.6,35,0.04,0.028,0,85,".5 cup, slices",100,"2 beets,  (2"" dia, sphere)"
11734,"BEETS,cooked,BOILED. DRND, with salt",44,1.68,0.18,9.96,2,7.96,16,0.79,305,285,3.6,35,0.04,0.028,0,85,".5 cup, slices",100,"2 beets,  (2"" dia, sphere)"
11084,"BEETS, canned, drained solid",31,0.91,0.14,7.21,1.8,5.51,15,1.82,148,194,4.1,24,0.03,0.022,0,157,"1 cup, diced",195,"1 cup, shredded"
11735,"BEETS, canned,NO SALT, solids and liquids",28,0.8,0.07,6.57,1.2,5.38,13,0.63,142,21,2.8,22,0.03,0.011,0,246,1 cup,,
11082,"BEETS, canned, solids and liquids",30,0.73,0.09,7.14,1.2,6.53,18,0.73,159,143,2.8,23,0.03,0.013,0,246,1 cup,,
11605,"BEETS,HARVARD, canned, solids and liquids",73,0.84,0.06,18.18,2.5,,11,0.36,164,162,2.4,11,,0.009,0,246,"1 cup, slices",,
11609,"BEETS,PICKLED, canned, solids and liquids",65,0.8,0.08,16.28,2.6,13.59,11,0.41,148,264,2.3,49,0.06,0.013,0,227,"1 cup, slices",,
11080,"BEETS,RAW",43,1.61,0.17,9.56,2.8,6.76,16,0.8,325,78,4.9,33,0.04,0.027,0,136,1 cup,82,"1 beet,  (2"" dia)"
11097,"BROCCOLI RAAB,cooked",33,3.83,0.52,3.12,2.8,0.62,118,1.27,343,56,37,4533,2.53,0.057,0,437,"1 bunch, cooked",85,1 NLEA serving
11096,"BROCCOLI RAAB,RAW",22,3.17,0.49,2.85,2.7,0.38,108,2.14,196,33,20.2,2622,1.62,0.05,0,40,"1 cup, chopped",19,1 stalk
11742,"BROCCOLI,cooked, boiled, drained, with salt",35,2.38,0.41,7.18,3.3,1.39,40,0.67,293,262,64.9,1548,1.45,0.079,0,280,"1 stalk,  large (11""-12"" long)",180,"1 stalk,  medium (7-1/2"" - 8"" long)"
11091,"BROCCOLI,cooked, boiled, drained, without salt",35,2.38,0.41,7.18,3.3,1.39,40,0.67,293,41,64.9,1548,1.45,0.079,0,280,"1 stalk,  large (11""-12"" long)",180,"1 stalk,  medium (7-1/2"" - 8"" long)"
11740,"BROCCOLI,FLOWER CLUSTERS,RAW",28,2.98,0.35,5.24,,,48,0.88,325,27,93.2,3000,,0.054,0,71,"1 cup,  flowerets",11,1 floweret
11743,"BROCCOLI,frozen,chopped,cooked, boiled, drained, with salt",28,3.1,0.12,5.35,3,1.47,33,0.61,142,260,40.1,1011,1.32,0.018,0,184,1 cup,,
11093,"BROCCOLI,frozen,chopped,cooked, boiled, drained, without salt",28,3.1,0.12,5.35,3,1.47,33,0.61,142,11,40.1,1011,1.32,0.018,0,184,1 cup,,
11092,"BROCCOLI,frozen,chopped,unprepared",26,2.81,0.29,4.78,3,1.35,56,0.81,212,24,56.4,1034,1.22,0.044,0,156,1 cup,284,"1 package,  (10 oz)"
11744,"BROCCOLI,frozen,SPEARS,cooked, boiled, drained, with salt",28,3.1,0.11,5.35,3,1.44,51,0.61,180,260,40.1,1118,1.32,0.018,0,250,"1 package,  (10 oz) yields",92,.5 cup
11095,"BROCCOLI,frozen,SPEARS,cooked, boiled, drained, without salt",28,3.1,0.11,5.36,3,1.47,51,0.61,180,24,40.1,1011,1.32,0.018,0,250,"1 package,  (10 oz) yields",92,.5 cup
11094,"BROCCOLI,frozen,SPEARS,unprepared",29,3.06,0.34,5.35,3,1.47,41,0.72,250,17,68.3,1138,1.35,0.052,0,284,"1 package,  (10 oz)",907,"1 package,  (2 lb)"
11739,"BROCCOLI,LEAVES,RAW",28,2.98,0.35,5.24,,,48,0.88,325,27,93.2,16000,,0.054,0,,,,
11090,"BROCCOLI,RAW",34,2.82,0.37,6.64,2.6,1.7,47,0.73,316,33,89.2,623,0.78,0.039,0,91,"1 cup, chopped",608,1 bunch
11741,"BROCCOLI,STALKS,RAW",28,2.98,0.35,5.24,,,48,0.88,325,27,93.2,400,,0.054,0,114,1 stalk,,
11745,"BRUSSELS SPROUTS,cooked, boiled, drained, with salt",36,2.55,0.5,7.1,2.6,1.74,36,1.2,317,257,62,775,0.43,0.102,0,21,1 sprout,78,.5 cup
11099,"BRUSSELS SPROUTS,cooked, boiled, drained, without salt",36,2.55,0.5,7.1,2.6,1.74,36,1.2,317,21,62,775,0.43,0.102,0,21,1 sprout,78,.5 cup
11746,"BRUSSELS SPROUTS,frozen,cooked, boiled, drained, with salt",42,3.64,0.39,8.32,4.1,2.08,26,0.48,290,259,45.7,926,0.51,0.081,0,155,1 cup,,
11101,"BRUSSELS SPROUTS,frozen,cooked, boiled, drained, without salt",42,3.64,0.39,8.32,4.1,2.08,26,0.48,290,15,45.7,926,0.51,0.081,0,155,1 cup,,
11100,"BRUSSELS SPROUTS,frozen,unprepared",41,3.78,0.41,7.86,3.8,,26,0.93,370,10,74.1,617,,0.084,0,284,"1 package,  (10 oz)",907,"1 package,  (2 lb)"
11098,"BRUSSELS SPROUTS,RAW",43,3.38,0.3,8.95,3.8,2.2,42,1.4,389,25,85,754,0.88,0.062,0,88,1 cup,19,1 sprout
11754,"CABBAGE,CHINESE (PAK-CHOI),cooked, boiled, drained, with salt",12,1.56,0.16,1.78,1,0.83,93,1.04,371,270,26,4249,0.09,0.021,0,170,"1 cup, shredded",,
